#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
140642.64-004009.8 00302-51688-0185 211.677700 -0.669390 1.942 19.042 1.789 0.000 1.523 0.162 0.941 0.155 0 15.723
140424.42-010922.8 00302-51688-0258 211.101780 -1.156340 2.306 18.513 1.116 0.586 1.181 0.099 1.662 0.114 0 16.999
140323.39-000606.9 00302-51688-0314 210.847470 -0.101920 2.462 17.916 0.702 0.000 0.650 0.089 0.201 0.059 1 22.239
140323.39-000606.9 00302-51688-0314 210.847470 -0.101920 2.462 17.916 1.634 0.454 2.139 0.107 1.884 0.088 0 22.239
140323.39-000606.9 00302-51688-0314 210.847470 -0.101920 2.462 17.916 2.268 0.544 1.138 0.117 1.050 0.136 0 22.239
140441.20+003944.8 00302-51688-0385 211.171690 0.662440 1.157 18.633 0.854 0.000 0.715 0.109 0.835 0.105 0 13.098
140512.89+000502.1 00302-51688-0395 211.303740 0.083920 0.542 18.838 0.371 0.797 0.682 0.107 0.582 0.109 0 13.849
140620.27+001015.1 00302-51688-0422 211.584470 0.170880 1.562 18.804 1.032 0.905 1.008 0.152 0.676 0.140 0 14.564
140720.50+005056.6 00302-51688-0445 211.835420 0.849070 1.219 18.341 0.367 0.272 0.783 0.120 0.425 0.115 0 16.552
140720.50+005056.6 00302-51688-0445 211.835420 0.849070 1.219 18.341 0.380 0.283 0.807 0.113 0.484 0.103 0 16.552
140832.64+003138.5 00302-51688-0481 212.136030 0.527380 1.672 19.455 1.591 0.000 1.092 0.136 1.009 0.162 0 7.125
140843.77+004730.4 00302-51688-0537 212.182400 0.791800 1.024 18.777 0.778 0.554 0.911 0.095 0.781 0.102 0 14.719
141038.33+001723.8 00302-51688-0560 212.659710 0.289950 1.747 18.809 1.548 0.000 0.544 0.085 0.603 0.093 0 16.191
152120.61-003141.5 00312-51689-0027 230.335900 -0.528210 1.444 19.012 1.206 0.000 1.289 0.135 1.201 0.114 0 12.409
151715.71-003809.6 00312-51689-0162 229.315460 -0.636020 1.571 19.065 1.170 0.000 1.702 0.181 1.703 0.198 0 10.006
151656.59-001438.8 00312-51689-0191 229.235820 -0.244110 1.825 18.974 1.240 0.000 0.609 0.089 0.978 0.130 0 15.368
151656.59-001438.8 00312-51689-0191 229.235820 -0.244110 1.825 18.974 1.636 0.998 1.471 0.108 1.311 0.134 0 15.368
151607.15-001543.9 00312-51689-0227 229.029790 -0.262200 1.492 18.435 1.297 0.994 1.149 0.087 0.934 0.091 0 18.620
151519.40-001103.4 00312-51689-0309 228.830840 -0.184300 1.564 19.140 1.311 0.862 1.916 0.140 2.162 0.157 0 11.358
151515.47+004529.5 00312-51689-0415 228.814480 0.758200 1.651 17.426 1.482 0.000 0.379 0.060 0.181 0.056 0 30.582
151729.70+001652.6 00312-51689-0502 229.373780 0.281290 1.887 18.846 0.769 0.529 1.331 0.115 0.371 0.105 0 14.363
151729.70+001652.6 00312-51689-0502 229.373780 0.281290 1.887 18.846 1.109 0.493 2.148 0.132 1.273 0.129 0 14.363
132337.13-022853.3 00341-51690-0080 200.904740 -2.481490 0.997 18.516 0.832 0.637 0.989 0.099 0.539 0.087 0 18.016
132139.31-032643.8 00341-51690-0122 200.413800 -3.445500 2.005 18.920 1.285 0.000 1.072 0.094 1.048 0.100 0 16.419
