#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
145411.76+141001.0 02750-54242-0546 223.549030 14.166950 2.075 18.861 1.213 0.000 1.678 0.189 0.749 0.164 0 8.735
151727.68+133358.5 02766-54242-0003 229.365340 13.566270 2.233 17.465 0.959 0.193 1.191 0.079 0.940 0.074 0 25.320
151553.15+132926.5 02766-54242-0081 228.971470 13.490710 3.209 18.140 1.247 0.551 0.801 0.080 0.270 0.079 1 17.616
151553.15+132926.5 02766-54242-0081 228.971470 13.490710 3.209 18.140 1.602 0.486 1.817 0.091 1.493 0.091 0 17.616
151344.17+144947.9 02766-54242-0175 228.434080 14.829970 1.391 19.054 1.084 0.672 2.830 0.193 2.002 0.151 0 9.504
151241.45+144810.6 02766-54242-0191 228.172710 14.802960 1.439 19.152 0.908 0.000 0.972 0.158 0.796 0.158 0 11.248
151349.54+141241.8 02766-54242-0201 228.456450 14.211630 2.986 19.349 1.690 0.000 1.260 0.139 0.868 0.117 0 10.371
150958.92+155126.5 02766-54242-0339 227.495510 15.857380 2.212 17.508 0.934 0.297 0.880 0.083 0.617 0.069 0 24.757
151056.52+154520.6 02766-54242-0355 227.735530 15.755730 2.109 19.108 1.185 0.000 1.577 0.191 0.634 0.157 0 8.323
151056.52+154520.6 02766-54242-0355 227.735530 15.755730 2.109 19.108 1.349 0.915 1.910 0.134 1.611 0.148 0 8.323
151056.52+154520.6 02766-54242-0355 227.735530 15.755730 2.109 19.108 1.769 0.000 1.925 0.173 1.971 0.190 0 8.323
151329.84+161139.4 02766-54242-0361 228.374370 16.194280 2.434 19.086 1.520 0.955 1.795 0.193 1.093 0.156 0 9.843
151329.84+161139.4 02766-54242-0361 228.374370 16.194280 2.434 19.086 1.866 0.000 2.014 0.273 1.205 0.224 0 9.843
151541.43+154527.1 02766-54242-0538 228.922650 15.757540 1.221 18.855 0.947 0.304 1.478 0.091 0.338 0.091 0 15.517
151541.43+154527.1 02766-54242-0538 228.922650 15.757540 1.221 18.855 1.094 0.372 1.685 0.118 1.839 0.103 0 15.517
151538.59+151135.8 02766-54242-0557 228.910810 15.193300 2.054 18.112 1.166 0.694 0.853 0.083 0.628 0.078 0 24.537
151627.35+155949.5 02766-54242-0569 229.113980 15.997110 1.345 18.668 1.303 0.472 2.166 0.103 1.589 0.098 0 18.643
151647.69+150748.9 02766-54242-0599 229.198720 15.130270 1.764 18.605 0.707 0.254 2.254 0.131 2.063 0.108 0 17.321
151647.69+150748.9 02766-54242-0599 229.198720 15.130270 1.764 18.605 1.548 0.790 1.919 0.097 1.501 0.088 0 17.321
151709.37+154625.7 02766-54242-0614 229.289060 15.773810 1.931 17.355 0.682 0.308 1.017 0.094 0.587 0.074 0 27.415
151709.37+154625.7 02766-54242-0614 229.289060 15.773810 1.931 17.355 1.818 0.508 0.845 0.081 0.749 0.086 0 27.415
151743.05+152931.7 02766-54242-0626 229.429400 15.492140 1.385 18.039 0.871 0.343 0.657 0.069 0.607 0.075 0 25.630
154834.73+152346.0 02518-54243-0141 237.144710 15.396130 1.716 18.591 1.528 0.783 3.527 0.136 2.944 0.108 0 11.958
154719.97+151708.5 02518-54243-0208 236.833240 15.285700 1.688 18.892 1.256 0.000 3.061 0.148 1.622 0.103 0 14.657
154148.64+152711.1 02518-54243-0305 235.452680 15.453100 2.192 18.495 1.716 0.726 0.774 0.097 0.304 0.090 0 17.397
154351.92+162422.1 02518-54243-0350 235.966370 16.406160 0.849 16.131 0.751 0.039 1.578 0.083 1.382 0.078 0 32.110
154503.01+164234.4 02518-54243-0378 236.262540 16.709560 1.482 18.750 0.831 0.762 1.093 0.114 0.691 0.113 0 15.711
154815.88+155544.6 02518-54243-0472 237.066180 15.929070 2.930 19.716 1.500 0.000 2.243 0.184 0.477 0.135 0 8.635
155124.09+162750.8 02518-54243-0604 237.850400 16.464130 1.545 17.527 0.574 0.093 2.309 0.079 2.207 0.090 0 28.439
155124.09+162750.8 02518-54243-0604 237.850400 16.464130 1.545 17.527 1.370 0.000 0.456 0.067 0.357 0.058 0 28.439
124431.64+160826.1 02600-54243-0041 191.131870 16.140600 1.734 18.887 0.828 0.622 1.140 0.119 0.959 0.111 0 14.632
124426.66+164229.2 02600-54243-0074 191.111110 16.708120 0.672 18.892 0.485 0.347 1.498 0.189 1.327 0.170 0 10.785
124435.66+171934.8 02600-54243-0079 191.148600 17.326350 1.593 18.374 0.674 0.343 1.263 0.098 0.986 0.099 0 22.211
124134.63+163425.8 02600-54243-0133 190.394330 16.573850 1.816 18.598 1.258 0.000 0.503 0.080 0.878 0.107 0 16.875
124134.63+163425.8 02600-54243-0133 190.394330 16.573850 1.816 18.598 1.340 0.000 0.765 0.086 0.650 0.085 0 16.875
123828.40+171757.3 02600-54243-0223 189.618350 17.299270 1.640 18.201 0.963 0.257 1.638 0.087 1.279 0.087 0 20.083
123828.40+171757.3 02600-54243-0223 189.618350 17.299270 1.640 18.201 1.276 0.000 0.442 0.073 0.314 0.082 0 20.083
123753.33+171000.0 02600-54243-0261 189.472210 17.166670 1.770 18.657 1.315 0.000 0.922 0.105 0.623 0.086 0 16.190
124129.25+183650.2 02600-54243-0458 190.371900 18.613960 1.895 18.556 0.522 0.268 1.544 0.127 1.253 0.118 1 18.925
124002.34+173057.6 02600-54243-0493 190.009780 17.516020 2.920 19.076 1.801 0.000 0.963 0.137 1.587 0.195 0 10.881
124248.25+181717.8 02600-54243-0576 190.701070 18.288290 0.975 18.500 0.767 0.515 0.662 0.063 0.441 0.074 0 26.042
124355.89+181348.4 02600-54243-0619 190.982930 18.230130 1.725 18.849 1.667 0.000 0.898 0.119 0.882 0.120 0 16.749
150457.23+130852.1 02751-54243-0116 226.238460 13.147810 1.595 18.143 1.287 0.000 0.619 0.076 0.418 0.063 0 22.326
150122.22+130517.2 02751-54243-0169 225.342600 13.088130 1.968 18.778 1.225 0.558 2.674 0.134 2.222 0.113 0 15.292
150122.22+130517.2 02751-54243-0169 225.342600 13.088130 1.968 18.778 1.607 0.869 3.444 0.153 2.563 0.133 0 15.292
150259.61+131312.6 02751-54243-0177 225.748400 13.220180 1.780 18.340 1.145 0.479 1.362 0.083 1.317 0.086 0 23.014
150047.49+125548.2 02751-54243-0185 225.197900 12.930070 1.563 17.902 1.115 0.451 0.896 0.082 0.769 0.072 0 23.831
145643.59+124644.5 02751-54243-0285 224.181640 12.779050 2.113 18.306 1.180 0.479 1.282 0.095 0.994 0.090 0 19.601
145609.31+140356.9 02751-54243-0331 224.038790 14.065830 1.798 18.954 0.748 0.565 1.422 0.207 0.751 0.179 0 8.813
145735.35+141749.6 02751-54243-0340 224.397320 14.297130 1.077 17.977 0.459 0.833 0.699 0.099 0.241 0.071 0 22.126
145744.34+133421.8 02751-54243-0359 224.434750 13.572740 1.699 19.106 1.193 0.000 1.117 0.159 0.743 0.121 0 12.719
150118.56+143120.8 02751-54243-0406 225.327360 14.522460 2.286 18.637 1.091 0.000 0.567 0.087 0.321 0.102 0 15.304
150118.56+143120.8 02751-54243-0406 225.327360 14.522460 2.286 18.637 1.868 0.658 1.068 0.106 0.902 0.101 0 15.304
150118.56+143120.8 02751-54243-0406 225.327360 14.522460 2.286 18.637 2.222 0.000 1.046 0.150 0.686 0.139 0 15.304
145923.96+135850.3 02751-54243-0422 224.849850 13.980640 1.603 18.883 1.221 0.651 1.244 0.090 1.243 0.094 0 16.971
150038.61+135746.0 02751-54243-0471 225.160890 13.962780 1.260 18.113 0.726 0.397 0.700 0.093 0.667 0.076 0 22.041
150432.02+135714.1 02751-54243-0510 226.133420 13.953940 2.169 17.695 0.966 0.848 0.556 0.072 0.354 0.077 0 24.828
150505.90+133340.2 02751-54243-0557 226.274610 13.561170 1.507 18.371 0.575 0.164 1.632 0.085 1.438 0.080 0 23.530
150505.90+133340.2 02751-54243-0557 226.274610 13.561170 1.507 18.371 1.045 0.511 0.518 0.074 0.325 0.052 0 23.530
150440.34+140923.1 02751-54243-0579 226.168090 14.156420 3.062 19.370 0.908 0.848 0.895 0.148 0.685 0.172 1 10.209
152347.37+130125.4 02767-54243-0122 230.947370 13.023750 1.962 18.685 1.868 0.912 2.129 0.207 1.233 0.174 0 11.893
152244.08+142509.0 02767-54243-0174 230.683700 14.419170 1.326 19.049 1.086 0.408 1.440 0.097 1.452 0.111 0 16.357
152045.99+141111.8 02767-54243-0196 230.191640 14.186630 1.263 18.939 0.505 0.204 1.710 0.138 1.985 0.155 0 14.808
152045.99+141111.8 02767-54243-0196 230.191640 14.186630 1.263 18.939 0.771 0.526 1.166 0.129 1.078 0.112 0 14.808
152209.06+135833.8 02767-54243-0213 230.537780 13.976070 1.798 16.866 1.597 0.486 0.475 0.063 0.347 0.067 0 31.010
152209.06+135833.8 02767-54243-0213 230.537780 13.976070 1.798 16.866 1.728 0.147 1.784 0.079 1.315 0.087 0 31.010
152029.47+134718.4 02767-54243-0255 230.122820 13.788450 2.025 18.746 0.852 0.733 0.580 0.092 0.539 0.099 0 18.049
152029.47+134718.4 02767-54243-0255 230.122820 13.788450 2.025 18.746 1.035 0.000 0.807 0.100 0.323 0.091 0 18.049
152029.47+134718.4 02767-54243-0255 230.122820 13.788450 2.025 18.746 1.328 0.000 0.933 0.094 0.377 0.065 0 18.049
152029.47+134718.4 02767-54243-0255 230.122820 13.788450 2.025 18.746 1.428 0.000 0.873 0.099 0.732 0.083 0 18.049
151856.52+144811.3 02767-54243-0382 229.735500 14.803140 1.514 19.055 1.396 0.000 1.997 0.155 1.720 0.137 0 10.597
152145.31+152707.5 02767-54243-0404 230.438810 15.452080 1.505 18.920 1.055 0.683 1.086 0.129 0.839 0.118 0 14.052
152301.71+152116.7 02767-54243-0443 230.757160 15.354650 1.682 18.639 1.376 0.000 0.619 0.084 0.728 0.094 0 17.616
152301.71+152116.7 02767-54243-0443 230.757160 15.354650 1.682 18.639 1.405 0.000 0.697 0.091 0.655 0.091 0 17.616
152145.61+143648.5 02767-54243-0471 230.440060 14.613490 1.728 19.106 1.020 0.733 1.024 0.144 1.163 0.156 0 10.385
152300.15+143516.9 02767-54243-0493 230.750630 14.588040 1.821 18.553 1.308 0.619 2.393 0.093 2.392 0.103 0 17.858
152338.86+144930.2 02767-54243-0519 230.911930 14.825080 1.622 19.071 1.436 0.905 1.409 0.098 1.648 0.105 0 12.021
152341.08+143942.6 02767-54243-0520 230.921170 14.661840 1.831 18.925 1.066 0.687 1.769 0.146 1.553 0.148 0 13.058
152449.88+155054.6 02767-54243-0523 231.207840 15.848520 1.632 18.444 1.282 0.694 0.710 0.067 0.622 0.061 0 21.569
152539.86+152333.5 02767-54243-0572 231.416100 15.392650 1.540 18.472 1.307 0.519 1.506 0.073 1.451 0.073 0 22.164
152701.79+150451.2 02767-54243-0590 231.757500 15.080900 1.481 19.071 0.972 0.722 1.265 0.129 1.275 0.140 0 13.313
142223.57+301337.1 02129-54252-0011 215.598240 30.226970 1.551 18.598 0.562 0.529 0.829 0.113 0.920 0.127 0 15.397
142044.08+294914.2 02129-54252-0090 215.183690 29.820630 0.753 18.484 0.367 0.815 1.048 0.130 0.946 0.143 0 17.306
141958.02+301219.0 02129-54252-0138 214.991780 30.205280 1.105 18.557 0.662 0.615 0.450 0.070 0.208 0.069 0 18.234
141853.38+300701.6 02129-54252-0208 214.722440 30.117110 2.240 18.914 1.660 0.000 1.998 0.197 1.136 0.129 0 12.287
141853.38+300701.6 02129-54252-0208 214.722440 30.117110 2.240 18.914 2.200 0.000 1.599 0.249 1.169 0.218 0 12.287
141550.46+300146.8 02129-54252-0288 213.960300 30.029690 2.079 17.702 1.675 0.375 2.290 0.117 3.825 0.146 0 22.820
141839.99+314244.0 02129-54252-0377 214.666630 31.712240 4.935 19.723 1.660 0.000 2.871 0.325 3.022 0.307 1 7.433
141839.99+314244.0 02129-54252-0377 214.666630 31.712240 4.935 19.723 1.708 0.000 2.180 0.283 1.284 0.226 1 7.433
142052.01+312052.6 02129-54252-0481 215.216740 31.347960 2.882 19.432 1.859 0.000 2.039 0.205 1.461 0.245 0 10.981
142008.19+311644.7 02129-54252-0497 215.034160 31.279090 1.308 17.489 0.833 0.250 0.720 0.071 0.571 0.071 0 30.523
142216.59+311326.8 02129-54252-0516 215.569150 31.224130 1.001 18.989 0.717 0.000 0.672 0.098 0.298 0.084 0 17.808
142138.21+320332.5 02129-54252-0530 215.409240 32.059030 2.140 17.986 1.389 0.000 0.420 0.069 0.347 0.078 0 20.967
142138.21+320332.5 02129-54252-0530 215.409240 32.059030 2.140 17.986 1.633 0.690 1.430 0.098 0.882 0.089 0 20.967
142138.21+320332.5 02129-54252-0530 215.409240 32.059030 2.140 17.986 1.796 0.690 1.240 0.085 0.819 0.087 0 20.967
142340.89+320514.3 02129-54252-0565 215.920400 32.087330 2.954 18.946 1.050 0.858 0.895 0.143 0.794 0.118 1 14.142
142458.75+310742.3 02129-54252-0597 216.244810 31.128430 1.226 17.620 0.948 0.182 2.577 0.078 2.133 0.066 0 26.602
142437.72+314527.4 02129-54252-0616 216.157200 31.757640 3.393 19.461 0.978 0.747 1.336 0.210 1.264 0.215 1 7.780
142548.68+311402.1 02129-54252-0626 216.452870 31.233920 2.124 18.275 0.742 0.172 2.047 0.085 1.944 0.084 1 21.014
142548.68+311402.1 02129-54252-0626 216.452870 31.233920 2.124 18.275 1.706 0.594 1.604 0.109 1.351 0.097 0 21.014
142548.68+311402.1 02129-54252-0626 216.452870 31.233920 2.124 18.275 1.796 0.365 0.573 0.077 0.429 0.085 0 21.014
124718.85+085546.7 01789-54259-0019 191.828580 8.929650 2.957 18.825 1.680 0.780 1.472 0.153 1.066 0.136 0 11.246
124634.36+083656.7 01789-54259-0051 191.643170 8.615770 2.035 18.630 1.523 0.604 3.637 0.118 2.914 0.111 0 16.215
124709.53+092518.9 01789-54259-0062 191.789730 9.421920 1.179 18.923 0.992 0.247 2.025 0.080 1.565 0.097 0 19.963
124511.36+082832.7 01789-54259-0089 191.297360 8.475770 1.361 18.716 1.322 0.572 0.805 0.078 0.785 0.073 0 17.931
124553.43+084524.0 01789-54259-0093 191.472630 8.756670 1.345 18.977 1.176 0.755 1.196 0.126 1.314 0.135 0 12.289
124614.08+093457.4 01789-54259-0110 191.558690 9.582620 1.070 18.688 0.846 0.468 0.835 0.080 0.669 0.093 0 16.710
124449.66+085352.4 01789-54259-0135 191.206950 8.897890 2.199 18.476 1.052 0.751 0.491 0.075 0.323 0.076 0 23.169
124259.16+093316.9 01789-54259-0240 190.746540 9.554710 3.317 19.236 1.599 0.000 1.401 0.127 1.550 0.130 0 11.855
124259.16+093316.9 01789-54259-0240 190.746540 9.554710 3.317 19.236 1.927 0.000 2.613 0.271 1.452 0.220 0 11.855
124124.69+095346.0 01789-54259-0347 190.352870 9.896140 1.643 18.614 0.481 0.358 1.480 0.180 1.571 0.195 0 12.201
124211.22+110226.2 01789-54259-0368 190.546770 11.040620 1.487 17.615 1.375 0.526 0.609 0.072 0.431 0.072 0 27.586
124621.07+095431.5 01789-54259-0556 191.587810 9.908760 1.230 19.115 0.781 0.858 0.693 0.100 0.767 0.110 0 14.197
150457.39+044904.2 01832-54259-0282 226.239140 4.817840 0.972 18.013 0.735 0.283 0.547 0.051 0.544 0.055 0 27.558
135928.62+150637.1 02743-54259-0020 209.869300 15.110310 1.833 18.825 0.916 0.651 1.363 0.117 0.844 0.112 0 12.204
135446.48+150009.3 02743-54259-0140 208.693660 15.002590 1.278 18.169 0.980 0.454 0.839 0.077 0.623 0.065 0 25.239
135446.48+150009.3 02743-54259-0140 208.693660 15.002590 1.278 18.169 1.114 0.515 1.016 0.082 0.732 0.063 0 25.239
135732.62+155019.1 02743-54259-0155 209.385960 15.838640 1.181 19.028 0.778 0.604 2.868 0.225 1.984 0.173 0 9.893
135535.47+155750.0 02743-54259-0164 208.897830 15.963910 0.685 16.043 0.577 0.032 0.982 0.078 0.680 0.056 0 33.075
135254.17+150021.4 02743-54259-0254 208.225720 15.005950 1.179 18.439 1.058 0.561 1.153 0.102 0.930 0.084 0 17.601
135231.98+150913.3 02743-54259-0285 208.133290 15.153700 2.245 18.750 0.955 0.000 0.609 0.101 0.404 0.101 0 14.411
135200.33+155455.8 02743-54259-0318 208.001370 15.915520 2.106 18.248 1.645 0.651 3.017 0.146 2.773 0.162 0 18.744
135418.88+170152.9 02743-54259-0413 208.578700 17.031380 1.426 18.683 0.935 0.390 3.249 0.128 2.962 0.131 0 17.664
135415.77+161052.3 02743-54259-0433 208.565730 16.181200 1.806 18.112 1.016 0.261 2.373 0.106 1.914 0.096 0 24.110
135539.41+164643.0 02743-54259-0456 208.914250 16.778620 2.648 18.792 1.460 0.765 1.006 0.094 0.811 0.082 0 15.831
135430.84+162707.8 02743-54259-0463 208.628500 16.452190 1.730 18.399 0.469 0.168 1.756 0.108 1.386 0.106 1 23.329
135435.62+162404.7 02743-54259-0471 208.648440 16.401310 1.294 19.084 0.686 0.443 1.571 0.138 1.197 0.146 0 13.185
135435.62+162404.7 02743-54259-0471 208.648440 16.401310 1.294 19.084 1.037 0.865 1.021 0.139 0.648 0.118 0 13.185
135740.10+161618.0 02743-54259-0542 209.417080 16.271680 1.467 19.078 0.790 0.000 1.034 0.132 0.524 0.124 0 14.072
135827.11+170510.3 02743-54259-0603 209.613000 17.086210 2.228 17.750 1.838 0.479 1.084 0.092 1.018 0.073 0 23.819
135827.11+170510.3 02743-54259-0603 209.613000 17.086210 2.228 17.750 2.123 0.486 1.058 0.166 0.671 0.141 0 23.819
153831.60+125256.7 02768-54265-0017 234.631670 12.882430 1.629 18.226 1.557 0.000 2.505 0.127 2.023 0.125 0 15.531
153530.86+131310.6 02768-54265-0154 233.878590 13.219630 1.018 18.644 0.671 0.000 1.065 0.153 0.488 0.104 0 12.152
153459.75+132701.4 02768-54265-0176 233.749000 13.450390 5.059 19.875 1.883 0.000 1.296 0.179 1.154 0.141 1 31.042
153211.40+132945.2 02768-54265-0223 233.047520 13.495910 2.923 19.944 0.759 0.865 2.188 0.293 0.741 0.235 1 6.600
153102.56+124936.5 02768-54265-0259 232.760700 12.826810 2.368 18.230 2.247 0.944 2.404 0.286 1.452 0.260 0 22.726
153858.91+135850.6 02768-54265-0639 234.745480 13.980730 1.287 18.867 0.439 0.347 2.170 0.249 2.842 0.303 0 10.500
153858.91+135850.6 02768-54265-0639 234.745480 13.980730 1.287 18.867 1.040 0.415 1.939 0.145 2.138 0.179 0 10.500
154503.32+092219.6 01725-54266-0075 236.263870 9.372120 1.785 19.192 1.492 0.000 1.582 0.091 1.526 0.116 0 14.624
154122.16+090854.9 01725-54266-0182 235.342350 9.148590 2.589 19.181 1.277 0.000 1.088 0.114 1.080 0.132 0 11.785
153753.72+085051.9 01725-54266-0295 234.473860 8.847770 2.220 18.527 0.960 0.654 0.793 0.092 0.552 0.112 0 12.720
153709.73+094147.0 01725-54266-0302 234.290560 9.696400 1.927 18.796 1.672 0.730 1.873 0.240 0.996 0.211 0 10.463
153655.56+093716.5 01725-54266-0307 234.231540 9.621260 2.226 18.780 0.731 0.887 1.298 0.160 1.575 0.161 1 11.160
153700.71+094453.5 01725-54266-0355 234.252980 9.748200 1.540 19.079 1.472 0.944 2.635 0.116 2.629 0.128 0 9.794
154553.48+093620.5 01725-54266-0581 236.472850 9.605700 0.665 16.635 0.474 0.043 0.831 0.069 0.701 0.072 0 32.849
154551.48+094555.4 01725-54266-0587 236.464520 9.765410 2.027 18.048 0.937 0.232 2.265 0.117 2.381 0.133 0 17.066
154551.48+094555.4 01725-54266-0587 236.464520 9.765410 2.027 18.048 1.807 0.683 1.105 0.105 1.307 0.111 0 17.066
125550.08+091644.0 01791-54266-0078 193.958700 9.278910 0.998 18.456 0.789 0.440 1.121 0.104 0.885 0.105 0 16.588
125245.02+090017.1 01791-54266-0137 193.187590 9.004760 1.741 18.693 1.029 0.626 0.806 0.095 0.373 0.089 0 18.293
125245.02+090017.1 01791-54266-0137 193.187590 9.004760 1.741 18.693 1.420 0.000 0.749 0.085 0.750 0.097 0 18.293
125151.44+094212.1 01791-54266-0185 192.964370 9.703360 3.340 19.125 1.378 0.000 0.928 0.086 0.520 0.085 1 10.032
125014.25+084218.6 01791-54266-0292 192.559390 8.705190 1.591 18.608 1.352 0.715 0.923 0.087 0.956 0.083 0 21.833
124745.12+100916.4 01791-54266-0358 191.938000 10.154570 2.252 18.998 0.743 0.486 1.925 0.138 1.680 0.129 1 13.239
124944.68+102425.3 01791-54266-0387 192.436170 10.407030 1.371 18.880 0.867 0.386 1.221 0.099 1.266 0.135 0 14.933
124943.08+095633.2 01791-54266-0388 192.429520 9.942580 1.625 19.054 1.108 0.848 1.171 0.189 0.799 0.211 0 8.562
125131.94+105455.4 01791-54266-0403 192.883120 10.915400 2.042 18.467 0.796 0.808 0.535 0.086 0.341 0.102 0 15.575
125104.99+103803.6 01791-54266-0405 192.770780 10.634350 1.737 18.858 1.359 0.000 0.890 0.091 0.736 0.074 0 20.769
125221.20+110113.6 01791-54266-0443 193.088350 11.020460 2.035 18.364 0.702 0.293 0.755 0.081 0.327 0.077 0 20.501
125221.20+110113.6 01791-54266-0443 193.088350 11.020460 2.035 18.364 1.099 0.493 1.057 0.082 0.841 0.083 0 20.501
125409.96+100441.4 01791-54266-0504 193.541520 10.078170 1.327 18.239 1.290 0.000 0.656 0.065 0.422 0.056 0 20.093
125427.43+100522.7 01791-54266-0541 193.614300 10.089640 2.113 18.845 0.920 0.586 0.899 0.092 1.141 0.093 0 17.812
125452.14+102121.3 01791-54266-0557 193.717290 10.355930 1.983 18.338 0.833 0.000 0.759 0.094 0.250 0.071 0 18.738
125452.14+102121.3 01791-54266-0557 193.717290 10.355930 1.983 18.338 0.914 0.415 1.325 0.088 1.074 0.095 0 18.738
125704.15+095349.5 01791-54266-0634 194.267300 9.897080 1.433 18.117 0.848 0.722 0.401 0.063 0.479 0.068 0 26.247
152621.02+154316.3 02781-54266-0158 231.587620 15.721200 2.747 19.303 1.053 0.787 0.745 0.102 0.747 0.084 1 13.436
152209.45+152653.5 02781-54266-0244 230.539400 15.448210 1.766 19.656 0.616 0.715 1.091 0.151 0.923 0.193 0 9.466
152037.06+160126.6 02781-54266-0279 230.154430 16.024070 1.467 17.462 1.169 0.150 2.036 0.072 1.855 0.060 0 31.139
152035.85+165715.7 02781-54266-0340 230.149400 16.954390 2.015 20.105 1.327 0.000 1.025 0.153 1.087 0.171 0 9.700
151908.68+163545.9 02781-54266-0348 229.786180 16.596090 3.800 19.736 1.325 0.000 1.098 0.148 0.557 0.134 1 7.203
151926.95+163123.2 02781-54266-0357 229.862300 16.523120 1.033 18.518 0.667 0.218 1.364 0.079 1.099 0.077 0 22.583
151952.01+161454.2 02781-54266-0400 229.966720 16.248410 1.983 18.882 1.875 0.000 2.408 0.230 1.865 0.246 0 14.458
152331.99+162341.9 02781-54266-0497 230.883320 16.395000 2.077 19.858 1.375 0.000 1.717 0.210 1.598 0.222 0 7.532
152331.99+162341.9 02781-54266-0497 230.883320 16.395000 2.077 19.858 1.504 0.000 1.531 0.201 0.570 0.139 0 7.532
152331.99+162341.9 02781-54266-0497 230.883320 16.395000 2.077 19.858 1.836 0.000 1.642 0.236 1.113 0.263 0 7.532
152430.11+161705.4 02781-54266-0508 231.125460 16.284850 1.856 19.347 1.691 0.000 1.222 0.193 0.607 0.170 0 12.850
152755.18+164736.1 02781-54266-0579 231.979920 16.793370 3.135 20.159 1.500 0.000 1.869 0.213 1.599 0.218 0 7.496
125842.39+072534.5 01792-54270-0072 194.676670 7.426250 1.757 18.890 0.850 0.408 2.273 0.149 2.096 0.143 0 11.582
125842.39+072534.5 01792-54270-0072 194.676670 7.426250 1.757 18.890 1.344 0.808 2.381 0.122 2.131 0.116 0 11.582
125842.39+072534.5 01792-54270-0072 194.676670 7.426250 1.757 18.890 1.418 0.983 1.954 0.126 1.556 0.103 0 11.582
125828.53+072440.0 01792-54270-0079 194.618900 7.411130 1.493 19.024 0.854 0.819 1.292 0.153 1.092 0.130 0 12.506
125828.53+072440.0 01792-54270-0079 194.618900 7.411130 1.493 19.024 1.112 0.987 1.004 0.146 0.883 0.138 0 12.506
125407.91+072703.4 01792-54270-0155 193.532970 7.450940 1.763 18.348 1.328 0.000 0.541 0.076 0.281 0.055 0 20.984
125251.95+072705.0 01792-54270-0200 193.216480 7.451410 1.856 18.702 0.929 0.672 0.750 0.079 0.380 0.075 0 15.692
125326.01+063424.5 01792-54270-0217 193.358400 6.573480 1.083 18.832 0.874 0.418 1.874 0.109 1.728 0.103 0 14.982
125216.39+070400.8 01792-54270-0224 193.068310 7.066900 1.052 18.299 1.018 0.300 2.761 0.103 2.255 0.101 0 20.145
125147.51+081332.7 01792-54270-0379 192.947980 8.225760 2.421 18.255 0.669 0.279 1.210 0.085 0.953 0.083 1 19.778
125134.01+074415.8 01792-54270-0384 192.891720 7.737720 0.760 18.371 0.691 0.347 1.353 0.109 0.910 0.098 0 21.203
125442.06+075115.9 01792-54270-0503 193.675300 7.854430 2.520 18.979 1.547 0.980 0.866 0.092 0.596 0.084 0 21.493
125934.29+075200.6 01792-54270-0627 194.892880 7.866860 2.401 17.759 0.527 0.122 1.628 0.105 1.007 0.084 1 27.972
125934.29+075200.6 01792-54270-0627 194.892880 7.866860 2.401 17.759 0.818 0.544 0.381 0.063 0.205 0.050 1 27.972
161429.88+512410.2 02187-54270-0060 243.624530 51.402840 2.022 19.691 1.164 0.000 2.384 0.235 1.679 0.205 0 7.786
160819.91+510710.5 02187-54270-0257 242.083000 51.119590 2.434 20.140 1.605 0.000 1.291 0.177 0.679 0.186 0 6.764
160417.79+520614.4 02187-54270-0279 241.074130 52.104030 2.709 18.612 0.731 0.551 0.945 0.067 0.469 0.061 1 26.402
160417.79+520614.4 02187-54270-0279 241.074130 52.104030 2.709 18.612 1.076 0.887 0.739 0.067 0.518 0.072 0 26.402
160604.91+533554.9 02187-54270-0378 241.520480 53.598610 2.866 19.442 1.699 0.000 2.355 0.197 2.248 0.206 0 13.946
160441.20+522835.2 02187-54270-0381 241.171690 52.476470 2.300 20.033 0.950 0.000 1.823 0.204 1.586 0.164 0 7.731
160918.02+525816.3 02187-54270-0470 242.325090 52.971210 0.960 17.838 0.808 0.136 1.177 0.065 0.266 0.061 0 31.592
160745.70+524449.7 02187-54270-0472 241.940430 52.747140 2.404 20.430 0.906 0.000 1.277 0.134 0.932 0.108 0 7.676
161346.05+524129.5 02187-54270-0555 243.441880 52.691550 2.652 20.110 1.563 0.000 2.758 0.295 1.701 0.298 0 7.952
153035.23+502617.9 02449-54271-0544 232.646800 50.438310 2.701 17.749 1.138 0.715 0.501 0.081 0.421 0.071 0 26.298
151955.93+173111.6 02793-54271-0003 229.983080 17.519890 1.539 18.011 1.409 0.601 1.524 0.101 1.246 0.091 0 18.289
152008.99+173743.8 02793-54271-0004 230.037460 17.628840 2.393 18.837 1.261 0.712 0.743 0.093 1.015 0.115 0 11.603
152028.14+183556.1 02793-54271-0037 230.117260 18.598930 4.123 19.675 1.403 0.000 1.538 0.225 0.771 0.183 1 5.055
151524.93+170537.0 02793-54271-0089 228.853900 17.093610 1.023 18.867 0.653 0.418 1.602 0.155 1.061 0.134 0 12.417
151454.68+170703.9 02793-54271-0123 228.727840 17.117760 1.601 18.807 0.880 0.619 1.733 0.180 1.624 0.163 0 12.814
151512.24+174930.3 02793-54271-0138 228.801010 17.825110 1.789 18.382 1.189 0.000 0.614 0.086 0.687 0.106 0 17.743
151623.87+181556.2 02793-54271-0150 229.099470 18.265620 2.098 18.753 0.852 0.772 0.999 0.115 0.814 0.101 0 15.803
